id_track,name_track,num_samples,end_of_fade_in,start_of_fade_out,loudness,tempo,time_signature,key,mode,id_artist,publish_time,viewCount,likeCount,commentCount,followers,genres,name,popularity
1zlO1jfCXdsUx83nu6q93r,Vừa Hận Vừa Yêu,3620842,2.74576,150.65108,-6.787,94.996,4,6,0,6NmGVS8nPcqW6tnevWF3Zg,26-06-2024,6041555,47424,1927,7746,[],Trung Tu,44
597yJd30Qhy7ox80bNNw6x,Call Girl,4752000,0.0,198.53642,-10.616,98.055,4,0,0,6NmGVS8nPcqW6tnevWF3Zg,08-06-2022,12165388,56841,2557,7746,[],Trung Tu,44
1tzQi6v6wiyJkuoNncwqnA,Váy Cưới (EDM Remix),4851000,3.11728,212.74123,-6.151,110.051,4,1,1,6NmGVS8nPcqW6tnevWF3Zg,21-05-2017,123647,533,43,7746,[],Trung Tu,44
3HHGw4K7Bjw3j5f0yp7qeG,Mẹ (Xa nhà) (DJ Baby69 Remix),3756944,0.14998,170.38295,-9.096,99.994,4,1,0,6NmGVS8nPcqW6tnevWF3Zg,29-09-2022,7,0,0,7746,[],Trung Tu,44
2PX9opkzS5d2WdOE20TwSq,Về Nhà Đi Con (Lofi Version),4019351,0.0,170.13261,-11.027,99.966,4,2,1,6NmGVS8nPcqW6tnevWF3Zg,05-11-2021,1535829,10151,194,7746,[],Trung Tu,44
2lAi0gl1lw4M0AOF5NLR10,Vừa Hận Vừa Yêu - Trung Tự Remix,4699957,0.07397,205.56625,-4.032,125.026,4,6,0,6NmGVS8nPcqW6tnevWF3Zg,06-08-2024,25209,289,35,7746,[],Trung Tu,44
5M1uCCgHZ30sxrKDCH9fCZ,Con tim Anh Tan Thành Khói Mây (Lofi Version),2868503,0.0,122.35755,-7.105,154.816,4,10,1,6NmGVS8nPcqW6tnevWF3Zg,19-03-2024,247,3,0,7746,[],Trung Tu,44
6njJR3OIp3oA0Kc4aC9Tzf,MONTAGEM - PR FUNK,1359891,0.0,61.67306,-3.195,130.028,4,9,1,0f1IECbrVV952unZkzrsg2,26-06-2023,16381547,247654,3727,1534330,"['funk carioca', 'funk mtg', 'funk paulista', 'funk rj']",Mc Gw,79
4hB9LJ3TsLNPb2fiZidRLZ,MONTAGEM - PR FUNK - Slowed & Reveerb,1842871,0.0,79.7141,-4.095,98.611,4,1,1,0ivrHNM8urVaCkgRX8rtKH,24-07-2023,1033131,13654,727,33482,['phonk brasileiro'],Mc Menor Do Alvorada,69
3y5LRV9dYkGECL51KkZfxc,MELODIA DE VITORIA,1975496,0.0,89.59165,-7.032,129.876,4,5,1,6zFMFB1JvNHkHvCSudF4id,03-03-2024,72639,1624,31,198075,['phonk brasileiro'],S3BZS,66
