id_track,name_track,duration_ms,explicit,name,id_artist,release_date,popularity,followers,streams,num_samples,end_of_fade_in,start_of_fade_out,loudness,tempo,time_signature,key,mode
5MVAnYGimyRpWDkTD6qvRB,Lewandoski,209583,True,LFERDA,0bmKQDkU4J3gUykZS8tb6v,2024-05-10,57,1028666,283854,4621312,0.0,194.05498,-12.405,117.993,4,8,1
1LEebOfOP0rnNor3hqkPif,يمر وما يسلم,249767,False,Assala Nasri,6MQnUjIjnIOfHDFzqBJOAl,2024-07-01,59,5265892,136233,5507372,1.39116,239.9376,-5.127,85.958,4,10,0
75EsRQtLXd1p3sZnCqYGtj,No Love,182949,False,7liwa,7fmcLXdUj5tVr806b7Uzt3,2024-06-23,52,639209,413072,4034036,0.0,169.436,-9.585,145.928,4,11,0
37enI5HLEliszFasVgpjlz,Money Cash,170039,False,LFERDA,0bmKQDkU4J3gUykZS8tb6v,2024-05-10,57,1028666,154711,3749376,0.0,160.50793,-11.808,113.078,4,4,0
6tPMsNHDqitLURI5FMcNm6,ACH KHBARKOM,213539,True,Moro,1akll7SRGZblDrbCF5eqYW,2024-04-28,49,424205,160142,4708540,0.14612,204.00471,-10.102,183.135,3,0,1
3RzWvMggSzFMIueWIaDwEU,Colisée (feat. SDM),168746,True,Lacrim,7DUTsWY3RBd64vh8UtgtYA,2024-05-17,72,2585665,3171030,3720864,0.46363,164.6643,-7.336,62.582,4,6,0
7h2WNXMAJTKH3Ttwff1oti,Stafeta,169732,False,7liwa,7fmcLXdUj5tVr806b7Uzt3,2024-06-23,52,639209,187267,3742611,0.2322,163.57297,-10.366,140.019,4,7,1
3a7QA108PHmYTGzaQvorSg,Shyaf Nafsk,236590,False,Ahmed Sheba,7BugP3twaHMfVgDlgiEvLc,2024-02-25,48,768152,491812,5216829,0.0,226.33652,-6.237,153.866,4,10,0
5FlO2m0deIl5KF9OCnq9ss,SOS,208524,False,7liwa,7fmcLXdUj5tVr806b7Uzt3,2024-06-23,52,639209,178781,4597967,0.08694,203.55772,-9.103,121.946,4,0,1
55T3HvQKuTr6N57mMoIgMc,MATAL3ACH,175172,True,7ari,292jMVlKq180yzi8WRaVU6,2024-02-14,46,509964,210582,3862557,0.0,171.11946,-8.949,123.914,4,11,0
7JhSP9fNLGM6l8XEpQIUBH,Zagalo,203694,False,LFERDA,0bmKQDkU4J3gUykZS8tb6v,2024-05-10,57,1028666,301314,4491456,0.0,185.56807,-11.107,143.953,4,8,0
7JkacqaRT7U0BkRM64PdZ8,Tomber,204202,False,LFERDA,0bmKQDkU4J3gUykZS8tb6v,2024-05-10,57,1028666,180960,4502656,0.0,192.25542,-11.228,141.996,4,1,1
1kYgUIoRdPI36J74bzGs7y,بحكي عليكي,244500,False,Ramy Sabry,5LtHZB7vU02HtNoOzNcVhc,2024-01-07,62,2795692,359312,5391225,3.38431,231.83965,-8.006,159.933,4,2,0
